,geneid_symbol,S1,S2,S3,S4,S5,S6,I44,I51,I55,I69,geneid3,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000002846.10_ Timmdc1, Timmdc1,23.105984,21.85519,19.917814,25.324822,25.058481,25.288652,29.406296,26.37635,23.407695,21.023661, Timmdc1,370.2049839,-0.25357475,0.157871944,-1.606205281,0.108228813,0.198861912
ENSMUSG00000002847.8_ Pla1a, Pla1a,4.197404,7.237532,5.54921,7.662935,7.583459,6.752461,10.234075,16.825184,10.325866,14.26297, Pla1a,175.4217893,0.58812684,0.1679986,3.500784167,0.000463891,0.00225245
ENSMUSG00000002870.9_ Mcm2, Mcm2,2.098961,2.302448,2.005616,2.734413,2.287201,1.558135,3.207402,3.732803,2.994973,4.303468, Mcm2,97.27958775,0.321831988,0.163426778,1.969273283,0.048921718,0.105279665
ENSMUSG00000002871.15_ Tpra1, Tpra1,22.819729,22.66207,19.286211,21.80814,24.509203,20.305856,24.986207,28.838073,21.876842,31.495724, Tpra1,332.019352,-0.04662137,0.104144301,-0.447661269,0.654397678,0.761981842
ENSMUSG00000002881.15_ Nab1, Nab1,8.030404,8.327433,7.651391,6.904502,7.304222,8.318521,10.752369,12.048418,9.745056,13.939424, Nab1,383.8889599,0.177688137,0.089977577,1.974804647,0.048290321,0.104160269
ENSMUSG00000002885.15_ Adgre5, Adgre5,18.824666,25.219966,20.051392,24.722463,20.113461,24.531289,29.481103,38.691856,28.963286,51.191726, Adgre5,782.9837301,0.307862178,0.103522151,2.973877339,0.002940626,0.010631993
ENSMUSG00000002897.6_ Il17ra, Il17ra,1.021716,2.471976,1.121956,1.450855,0.712451,1.568841,2.078856,4.55682,2.979634,5.801101, Il17ra,96.64091398,1.353188889,0.226527758,5.973611812,2.32E-09,6.56E-08
ENSMUSG00000002900.18_ Lamb1, Lamb1,20.80535,26.358037,18.954752,23.526994,23.847648,22.254267,32.911445,45.411226,29.289249,55.62738, Lamb1,1833.054307,0.459432585,0.119105874,3.857346162,0.000114625,0.000712195
ENSMUSG00000002908.19_ Kcnn1, Kcnn1,7.799545,6.402418,11.280771,12.493575,7.620219,9.062147,12.354851,12.111442,10.5566,7.935087, Kcnn1,200.6041833,-0.357140609,0.138967331,-2.569960905,0.010170999,0.02930589
ENSMUSG00000002910.12_ Arrdc2, Arrdc2,9.215496,48.553315,11.069557,5.903127,19.512924,13.568142,11.423405,24.867643,9.448477,20.873069, Arrdc2,285.3029813,-0.486077607,0.541620142,-0.897451128,0.369478241,0.504201076
ENSMUSG00000002944.16_ Cd36, Cd36,848.266369,762.801671,863.918297,842.083786,889.800951,951.054104,768.450251,887.074293,923.074305,685.335367, Cd36,21768.27381,-0.431035019,0.151460822,-2.845851572,0.004429284,0.014860914
ENSMUSG00000002948.20_ Map2k7, Map2k7,26.815323,27.729066,27.891252,29.110531,22.306382,27.905116,20.495356,35.914479,29.596014,32.19507, Map2k7,1008.933614,-0.269741599,0.109722025,-2.458408864,0.013955419,0.03803081
ENSMUSG00000002949.16_ Timm44, Timm44,54.186617,56.271109,58.620317,63.982087,56.47367,55.116698,62.534324,63.816144,56.211749,47.184554, Timm44,1039.053778,-0.358329398,0.130068662,-2.754924907,0.005870561,0.018778771
ENSMUSG00000002957.12_ Ap2a2, Ap2a2,18.729155,21.834646,18.832105,21.310058,17.474013,22.523267,23.537666,32.901572,22.449224,33.839977, Ap2a2,1182.11824,0.085226126,0.086828717,0.981543085,0.326324999,0.459598608
ENSMUSG00000002963.18_ Pnkp, Pnkp,10.764279,12.473003,13.11912,13.769227,12.112794,12.056526,14.078074,16.270501,14.423812,16.581869, Pnkp,240.6547004,-0.136335093,0.116533924,-1.169917638,0.242034115,0.369519885
ENSMUSG00000002968.10_ Med25, Med25,30.918883,41.832972,34.774721,44.147144,42.135937,46.027306,33.843538,42.944889,40.653981,47.145442, Med25,1031.081814,-0.380838412,0.084725323,-4.494977378,6.96E-06,6.61E-05
ENSMUSG00000002980.15_ Bcam, Bcam,89.396742,130.878216,101.789833,118.76827,100.737389,114.070511,119.498474,139.110328,139.918475,131.116214, Bcam,2961.646154,-0.100040132,0.094675276,-1.056665863,0.29066411,0.422696226
ENSMUSG00000002981.11_ Clptm1, Clptm1,47.627673,42.929546,34.047551,43.28257,44.100378,48.533633,43.142308,49.051987,49.970764,55.148416, Clptm1,1485.992845,-0.233468029,0.06277708,-3.719001112,0.000200012,0.001123943
ENSMUSG00000002983.19_ Relb, Relb,5.288523,4.709212,3.317109,4.120942,4.781404,3.544542,7.446027,9.831199,6.431916,15.513965, Relb,133.5610919,0.74448963,0.211765347,3.515634839,0.000438704,0.0021499
ENSMUSG00000002984.18_ Tomm40, Tomm40,44.170451,48.652502,47.188035,59.022039,52.22078,53.41585,62.421214,60.520974,56.129733,63.412569, Tomm40,828.3988015,-0.144241667,0.103384147,-1.395201021,0.162955229,0.272945325
ENSMUSG00000002985.17_ Apoe, Apoe,315.908362,572.171873,256.480332,298.452166,276.22212,291.958324,1121.368658,1810.926748,708.243698,2487.990034, Apoe,6133.273325,1.733558009,0.309927599,5.593428959,2.23E-08,4.56E-07
ENSMUSG00000002992.18_ Apoc2, Apoc2,0,0,0.267668,0.534668,0,0,2.652045,3.505496,1.753803,5.329419, Apoc2,4.821461701,4.330616203,0.999486786,4.332839878,1.47E-05,0.000123941
ENSMUSG00000002996.18_ Hbp1, Hbp1,36.653492,47.478037,46.582512,46.764485,38.759156,58.064863,40.929002,64.58704,49.190481,56.623976, Hbp1,1404.183246,-0.172867984,0.105261089,-1.642278114,0.100532381,0.187746369
ENSMUSG00000002997.16_ Prkar2b, Prkar2b,0.385786,0.885702,0.459717,0.120798,0.284661,0.553347,1.044322,1.995936,1.743147,2.411494, Prkar2b,30.70636521,1.483250886,0.374225513,3.963521552,7.39E-05,0.000488991
